#10_lat,#10_lon,#26,#27,#28,#29,#30
35.940058,139.848564,4.3,0.2,-1.8,-2.7,
35.944908,139.895389,7.5,-1.5,-1.9,-0.4,
35.945883,139.911749,8.2,-0.8,-2.9,0.5,
35.897815,139.964036,6.8,-4.1,-1.5,-0.1,
35.889669,139.985379,7.1,-4.1,-2.4,0.3,
35.851566,139.964092,7.3,-4,1.3,-0.3,
35.866971,139.978264,7.3,-3.7,0.2,0,
35.840554,139.908429,4.1,-1.2,-2.1,0.4,
35.865733,140.037579,7.5,-4,-1,0.5,
35.870985,140.057820,7.1,-4.3,-1.1,0,
35.868881,140.085395,7.2,-4.3,-0.8,0,
35.863474,140.105918,6,-4.1,0.1,-0.6,
35.878961,139.992885,6.9,-4.9,0.5,0.4,
35.767819,139.899156,3.7,-1.2,-3.7,5.4,
35.780653,139.897033,3.8,-1.1,-2.1,2.9,
35.813408,139.922549,3.5,-1.4,-1.2,1.3,
35.809195,139.919708,3.8,-2.2,-1.2,1.7,
35.757528,139.898699,5.3,-1.9,-3.2,5.9,
35.662390,139.891544,-1.6,-3.2,1.8,0.3,
35.755036,140.010926,7.9,-4.4,-0.8,1.2,
35.747245,139.904802,4.7,0.3,-4.1,6.3,
35.734937,139.901997,6.6,-0.7,-5,6,
35.727232,139.917902,8.1,-1,-4.7,5.7,
35.718585,139.937225,4.7,-3.4,-1.7,6.9,
35.675228,139.892988,-0.2,-3.3,1.7,2.2,
35.685272,139.910324,-1.1,-2.5,2.4,1,
35.695394,139.924682,-0.6,-5.8,2.2,4.7,
35.701847,139.942421,3.3,-4.7,-0.5,4.6,
35.710593,139.956683,5.6,-4.4,-0.5,4,
35.705105,139.972351,5.7,-3.6,-1.1,5.8,
35.694894,139.992186,5.3,,-1,6.2,
35.704045,139.957265,5.1,-4.8,-0.9,5.7,
35.709973,139.986373,4.8,-3.7,-0.8,3.3,
35.684763,140.007937,4.2,-3.1,-1.5,5.5,
35.674935,140.026468,3.5,-278,-1.5,7.1,
35.682024,140.013319,3.8,-3.3,-2.2,4,
35.676942,140.022390,3.5,-2.7,-1.6,6.1,
35.670755,140.032400,5.1,-3.4,-1.9,7.6,
35.611596,140.106682,6.1,-3,-4.1,10.4,
35.606844,140.127339,8.2,-5,-2.9,11.7,
35.606844,140.127339,7.7,-3.9,-3.5,10.1,
35.572373,140.129523,5.3,-3.2,-2.6,8.5,
35.556972,140.130480,3.9,-2.9,-1.5,7.3,
35.564929,140.148511,-4.4,1.7,-0.9,4.5,
35.636741,140.079677,5.1,-2.7,-4.8,5.2,
35.630115,140.087198,4.7,-1.8,-6,6.8,
35.623034,140.094002,5.7,-3.7,-4.7,7,
35.566218,140.175105,1.7,0.4,-0.3,4.9,
35.552879,140.193391,4.1,-4.6,0.3,3,
35.547393,140.210093,3.7,-6.5,1.1,3.5,
35.542383,140.232040,3.3,-6.9,-4.5,7,
35.532678,140.256372,1.6,-8.2,-3.1,4.7,
35.530742,140.273530,-1.1,-8.7,-5.3,5.1,
35.521035,140.295032,-4.3,-10.9,-4.1,0.5,
35.629635,140.085708,4.8,-2.2,-5.8,6.4,
35.533476,140.109306,1.4,-1.8,-0.9,6.4,
35.518477,140.091080,1.7,-1.1,-1.8,5.2,
35.507200,140.073192,1,-0.4,-2.8,5.7,
35.493208,140.064386,1.7,-0.5,-3.5,7.8,
35.480759,140.049461,2,-1.5,-3.2,8.1,
35.471874,140.033116,4.7,-1,-4.1,9.2,
35.535073,140.115403,1.6,-2.2,0.1,5,
35.512272,140.122527,3.5,-5.1,1.2,6.3,
35.495847,140.121075,3.5,-5.1,0.5,5.4,
35.477172,140.121718,2.1,-1.8,-0.5,4.7,
35.450516,140.122552,2.4,-1,-1.6,3.9,
35.442048,140.119443,-0.2,-0.9,-1.9,4.4,
35.434293,140.116155,1.2,-0.5,-1.2,5.5,
35.425502,140.117478,2.1,-1.4,-1,4.4,
35.417299,140.122185,1.9,-3.3,1.3,4.8,
35.404912,140.132398,2,-1.7,1.5,5.4,
35.401362,140.140413,1.3,-1.8,2.5,4.6,
35.389667,140.152892,0,-2.2,2.2,3.2,
35.382225,140.164392,0.7,-2.4,1.9,3.5,
35.380191,140.173829,0.3,-2.5,1.8,3.2,
35.374503,140.183092,-2.1,-2.3,-0.3,3.1,
35.364299,140.184891,-1.6,-0.3,0.3,4,
35.359342,140.191033,-3.6,-0.2,-0.8,5.8,
35.352600,140.195800,-4.1,-0.8,-0.9,6,
35.345997,140.200372,-4,-1.3,-1.2,6.8,
35.330414,140.209955,-2.2,-2.3,-0.7,6,
